State,County,Violent_crime,MNNM,Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson2
Alabama,Autauga,51,0,6,5,40,372,92,240,40,
Alabama,Baldwin,223,0,9,37,177,615,173,397,45,
Alabama,Blount,375,1,19,5,350,796,191,492,113,
Alabama,Calhoun,14,0,5,7,2,144,49,95,0,
Alabama,Elmore,68,4,30,12,22,669,178,427,64,
Alabama,Etowah,99,2,32,1,64,444,152,233,59,
Alabama,Geneva,40,1,7,2,30,202,74,112,16,
Alabama,Greene,31,0,2,1,28,123,45,60,18,
Alabama,Houston,121,1,9,19,92,657,187,400,70,
Alabama,Jefferson,729,10,45,128,546,"2,255","1,181",888,186,
Alabama,Lawrence,48,0,8,3,37,351,112,195,44,
Alabama,Lee,417,2,23,10,382,"1,015",263,620,132,
Alabama,Madison,390,2,46,42,300,"2,007",486,"1,306",215,
Alabama,Mobile,147,1,9,23,114,"2,008",564,"1,130",314,
Alabama,Montgomery,111,0,8,10,93,404,136,230,38,
Alabama,Russell,40,2,9,6,23,268,70,158,40,
Alabama,St. Clair,221,1,11,1,208,416,130,255,31,
Alabama,Tuscaloosa,197,3,6,22,166,"1,371",361,831,179,
Alabama,Bullock,7,0,0,3,4,42,23,17,2,
Alabama,Chambers,0,0,0,0,0,70,29,39,2,
Alabama,Cherokee,65,0,11,1,53,295,101,160,34,
Alabama,Clarke,18,0,8,1,9,49,25,16,8,
Alabama,Clay,1,0,0,0,1,65,32,32,1,
Alabama,Cleburne,8,0,2,1,5,144,43,90,11,
Alabama,Coffee,18,1,3,0,14,132,55,65,12,
Alabama,Coosa,41,0,3,0,38,171,64,100,7,
Alabama,Covington,4,0,0,0,4,37,14,19,4,
Alabama,Cullman,52,1,23,2,26,911,235,553,123,
Alabama,Dale,31,0,9,1,21,147,39,99,9,
Alabama,Dallas,76,1,11,10,54,427,131,255,41,
Alabama,DeKalb,113,2,35,2,74,624,198,318,108,
Alabama,Fayette,2,0,1,0,1,72,32,27,13,
Alabama,Lamar,6,0,1,0,5,64,27,33,4,
Alabama,Macon,19,1,4,2,12,68,29,21,18,
Alabama,Marengo,30,0,3,3,24,149,53,77,19,
Alabama,Marshall,89,0,14,4,71,370,134,193,43,
Alabama,Monroe,27,2,0,0,25,56,19,29,8,
Alabama,Pike,27,0,3,3,21,124,45,69,10,
Alabama,Sumter,10,0,1,1,8,39,21,15,3,
Alabama,Talladega,92,0,8,13,71,701,182,444,75,
Alabama,Tallapoosa,15,0,4,1,10,115,28,78,9,
Arizona,Cochise,50,0,3,5,42,539,180,284,75,2
Arizona,Coconino,110,2,15,1,92,295,86,194,15,19
Arizona,Mohave,149,4,6,17,122,"2,058",693,"1,184",181,11
Arizona,Pima,619,10,76,163,370,"8,574","1,429","6,480",665,62
Arizona,Pinal,212,3,5,18,186,"1,807",432,"1,154",221,11
Arizona,Yavapai,238,3,21,5,209,952,225,641,86,13
Arizona,Yuma,144,11,17,7,109,856,317,440,99,5
Arizona,Gila,168,1,5,7,155,402,79,251,72,0
Arizona,Graham,15,0,1,3,11,111,27,72,12,15
Arizona,Greenlee,2,0,0,0,2,29,12,10,7,0
Arizona,La Paz3,,2,0,,19,294,76,205,13,
Arizona,Navajo,49,0,2,5,42,347,129,166,52,1
Arizona,Santa Cruz,5,2,2,0,1,145,34,80,31,0
Arkansas,Benton,136,2,33,4,97,413,136,234,43,2
Arkansas,Cleveland,16,2,4,0,10,83,45,37,1,1
Arkansas,Craighead,56,0,14,3,39,351,138,178,35,2
